Department,Number,Name,Term,Section,Instructor,Type,Status,Capacity,Availability
LING,410,INTERNSHIP,Sp15,901,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,Sp15,902,"Thies, R.",Internship,Open,10,10
LING,410,INTERNSHIP,Sp15,903,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,Sp15,904,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,Sp15,905,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,Sp15,906,Staff,Internship,Open,10,10
LING,410,INTERNSHIP,Sp15,907,Staff,Internship,Open,10,10
OPET,188,OVERSEAS STUDIES/PETITION PROGRAMS,Sp15,001,Staff,Independent or Special Studies,Closed,0,0
OPET,288,OVERSEAS STUDIES/PETITION PROGRAMS,Sp15,001,Staff,Independent or Special Studies,Closed,0,0
OPET,288,OVERSEAS STUDIES/PETITION PROGRAMS,Sp15,002,Staff,Independent or Special Studies,Closed,0,0
OPET,288,OVERSEAS STUDIES/PETITION PROGRAMS,Sp15,003,Staff,Independent or Special Studies,Closed,0,0
OPET,288,OVERSEAS STUDIES/PETITION PROGRAMS,Sp15,004,Staff,Independent or Special Studies,Closed,0,0
OPET,388,OVERSEAS STUDIES/PETITION PROGRAMS,W15,001,Staff,Independent or Special Studies,Closed,0,0
OPET,388,OVERSEAS STUDIES/PETITION PROGRAMS,W15,900,Staff,Independent or Special Studies,Closed,0,0
OPET,488,OVERSEAS STUDIES/PETITION PROGRAMS,W15,001,Staff,Independent or Special Studies,Closed,0,0
OPOI,188,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",F14,001,Staff,Independent or Special Studies,Closed,0,0
OPOI,288,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS. FRANCE",F14,001,Staff,Independent or Special Studies,Closed,0,0
OPOI,288,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS. FRANCE",W15,900,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",F14,900,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",F14,910,Staff,Independent or Special Studies,Open,2,2
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",F14,920,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",W15,900,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",W15,910,Staff,Independent or Special Studies,Open,9,9
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,001,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,002,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,003,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,004,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,005,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,006,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,007,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,008,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,009,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,010,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,011,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,012,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,013,Staff,Independent or Special Studies,Closed,0,0
OPOI,388,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Su15,900,Staff,Independent or Special Studies,Closed,0,0
OPOI,488,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",F14,001,Staff,Independent or Special Studies,Open,1,1
OPOI,488,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",W15,900,Staff,Independent or Special Studies,Closed,0,0
OPOI,488,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,001,Staff,Independent or Special Studies,Closed,0,0
OPOI,488,"OVERSEAS STUDIES: UNIVERSITE DE POITIERS, POITIERS, FRANCE",Sp15,002,Staff,Independent or Special Studies,Closed,0,0
MGMT,364,PROJECT MANAGEMENT,F14,001,"Larson, E.",Lecture,Closed,30,-8
MGMT,364,PROJECT MANAGEMENT,F14,002,"Larson, E.",Lecture,Closed,25,-6
MGMT,364,PROJECT MANAGEMENT,F14,400,"McNeely, L.",Project,Open,45,32
MGMT,364,PROJECT MANAGEMENT,W15,001,"Schilpzand, P.",Lecture,Open,40,39
MGMT,364,PROJECT MANAGEMENT,W15,002,"Schilpzand, P.",Lecture,Open,40,39
MGMT,364,PROJECT MANAGEMENT,W15,501,Staff,Lecture,Open,40,35
MGMT,364,PROJECT MANAGEMENT,Sp15,001,"McNeely, L.",Lecture,Open,45,45
MGMT,364,PROJECT MANAGEMENT,Sp15,400,"McNeely, L.",Project,Open,45,45
MGMT,364,PROJECT MANAGEMENT,Su15,400,"McNeely, L.",Project,Open,20,20
MGMT,452,LEADERSHIP,F14,001,"Cho, J.",Lecture,Closed,25,-9
MGMT,452,LEADERSHIP,F14,002,"Cho, J.",Lecture,Closed,25,-7
MGMT,452,LEADERSHIP,Sp15,001,"Cho, J.",Lecture,Open,45,45
MGMT,452,LEADERSHIP,Sp15,002,"Cho, J.",Lecture,Open,45,45
MGMT,453,HUMAN RESOURCES MANAGEMENT,F14,001,"Cieri, M.",Lecture,Closed,20,-7
MGMT,453,HUMAN RESOURCES MANAGEMENT,F14,002,"Klotz, A.",Lecture,Closed,30,-7
MGMT,453,HUMAN RESOURCES MANAGEMENT,F14,003,"Klotz, A.",Lecture,Closed,30,-7
MGMT,453,HUMAN RESOURCES MANAGEMENT,W15,001,"Swift, M.",Lecture,Open,35,31
MGMT,453,HUMAN RESOURCES MANAGEMENT,W15,002,"Swift, M.",Lecture,Open,35,31
MGMT,453,HUMAN RESOURCES MANAGEMENT,Sp15,001,"Klotz, A.",Lecture,Open,40,40
MGMT,453,HUMAN RESOURCES MANAGEMENT,Sp15,002,"Klotz, A.",Lecture,Open,40,40
MGMT,453,HUMAN RESOURCES MANAGEMENT,Sp15,003,"Klotz, A.",Lecture,Open,40,23
MGMT,455,INFLUENCE AND NEGOTIATION,W15,001,"Feeney, D.",Practicum,Open,40,37
MGMT,455,INFLUENCE AND NEGOTIATION,W15,002,"Feeney, D.",Practicum,Open,40,38
MGMT,455,INFLUENCE AND NEGOTIATION,Sp15,001,"Feeney, D.",Practicum,Open,45,45
MGMT,456,MANAGEMENT FIELD PRACTICUM,F14,001,"Larson, E.",Practicum,Closed,10,-6
MGMT,456,MANAGEMENT FIELD PRACTICUM,Sp15,001,"Larson, E.",Practicum,Open,45,45
MGMT,457,SUPPLY CHAIN STRATEGY,F14,001,Staff,Lecture,Closed,0,0
MGMT,457,SUPPLY CHAIN STRATEGY,W15,001,"Malone, Y.",Lecture,Open,40,35
MGMT,457,SUPPLY CHAIN STRATEGY,Sp15,001,"Malone, Y.",Lecture,Open,45,45
MGMT,457,SUPPLY CHAIN STRATEGY,Sp15,002,"Malone, Y.",Lecture,Open,45,45
MGMT,459,MANAGING ETHICS AND CORPORATE SOCIAL RESPONSIBILITY,W15,001,"Crangle, K.",Lecture,Open,40,37
MGMT,459,MANAGING ETHICS AND CORPORATE SOCIAL RESPONSIBILITY,W15,002,"Crangle, K.",Lecture,Open,40,40
MGMT,459,MANAGING ETHICS AND CORPORATE SOCIAL RESPONSIBILITY,Sp15,001,"Swift, M.",Lecture,Open,45,20
MGMT,459,MANAGING ETHICS AND CORPORATE SOCIAL RESPONSIBILITY,Sp15,002,"Swift, M.",Lecture,Open,45,28
OETC,488,"OVERSEAS STUDIES: PUEBLA, MEXICO",Su15,910,Staff,Independent or Special Studies,Open,30,30
OETC,488,"OVERSEAS STUDIES: PUEBLA, MEXICO",Su15,911,Staff,Independent or Special Studies,Open,30,30
ALS,102,COLLEGE READING,F14,090,"Grimm, M.",Lecture,Open,30,8
ALS,107,CAMP ORIENTATION,F14,001,"Contreras, G.",Lecture,Open,40,3
ALS,107,CAMP ORIENTATION,W15,001,"Contreras, G.",Lecture,Open,40,40
ALS,114,CAREER DECISION MAKING,F14,001,"Fritz, T.",Lecture,Open,90,3
ALS,114,CAREER DECISION MAKING,F14,003,"Williams, K.",Recitation,Open,15,2
ALS,114,CAREER DECISION MAKING,F14,004,"Samai, J.",Recitation,Open,15,1
ALS,114,CAREER DECISION MAKING,F14,005,"Lopez Gonzalez, R.",Recitation,Closed,15,0
ALS,114,CAREER DECISION MAKING,F14,006,"Fritz, T.",Recitation,Closed,15,0
ALS,114,CAREER DECISION MAKING,F14,007,"Sichi, M.",Recitation,Closed,15,0
ALS,114,CAREER DECISION MAKING,F14,008,"Leach, J.",Recitation,Closed,15,0
ALS,114,CAREER DECISION MAKING,F14,400,"Cassady, K.",WWW,Closed,15,0
ALS,114,CAREER DECISION MAKING,W15,001,Staff,Lecture,Open,90,90
ALS,114,CAREER DECISION MAKING,W15,003,Staff,Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,W15,004,Staff,Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,W15,005,Staff,Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,W15,006,Staff,Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,W15,007,Staff,Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,W15,008,Staff,Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,W15,009,Staff,Recitation,Inactive-Not Offered,0,0
ALS,114,CAREER DECISION MAKING,W15,010,Staff,Recitation,Inactive-Not Offered,0,0
ALS,114,CAREER DECISION MAKING,W15,400,"Cassady, K.",WWW,Open,15,15
ALS,114,CAREER DECISION MAKING,Sp15,001,"Fritz, T.",Lecture,Open,90,90
ALS,114,CAREER DECISION MAKING,Sp15,002,"Siddiqui, N.",Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,Sp15,003,"Zissen, D.",Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,Sp15,004,"Adkins, L.",Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,Sp15,006,"Pynn, H.",Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,Sp15,007,"Schaffeld, R.",Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,Sp15,011,"Fritz, T.",Recitation,Open,15,15
ALS,114,CAREER DECISION MAKING,Sp15,400,"Cassady, K.",WWW,Open,15,15
ALS,116,ACADEMIC SUCCESS,F14,002,"Johnson, S.",Discussion,Closed,20,0
ALS,116,ACADEMIC SUCCESS,F14,003,"Creighton, C.",Discussion,Closed,20,0
ALS,116,ACADEMIC SUCCESS,F14,400,"Harper, T.",WWW,Waitlisted,15,-1
ALS,116,ACADEMIC SUCCESS,W15,001,Staff,Discussion,Open,18,18
ALS,116,ACADEMIC SUCCESS,W15,002,Staff,Discussion,Open,18,18
ALS,116,ACADEMIC SUCCESS,W15,003,Staff,Discussion,Open,18,18
ALS,116,ACADEMIC SUCCESS,W15,004,Staff,Discussion,Open,18,18
ALS,116,ACADEMIC SUCCESS,W15,005,Staff,Discussion,Open,18,18
ALS,116,ACADEMIC SUCCESS,W15,006,Staff,Discussion,Open,18,18
ALS,116,ACADEMIC SUCCESS,W15,007,Staff,Discussion,Open,18,18
ALS,116,ACADEMIC SUCCESS,W15,400,"Harper, T.",WWW,Open,15,15
ALS,116,ACADEMIC SUCCESS,Sp15,021,Staff,Discussion,Open,25,25
ALS,116,ACADEMIC SUCCESS,Sp15,022,Staff,Discussion,Open,25,25
ALS,116,ACADEMIC SUCCESS,Sp15,023,Staff,Discussion,Open,25,25
ALS,116,ACADEMIC SUCCESS,Sp15,024,Staff,Discussion,Open,25,25
ALS,116,ACADEMIC SUCCESS,Sp15,025,Staff,Discussion,Open,25,25
ALS,116,ACADEMIC SUCCESS,Sp15,026,Staff,Discussion,Open,25,25
ALS,116,ACADEMIC SUCCESS,Sp15,027,Staff,Discussion,Open,25,25
ALS,116,ACADEMIC SUCCESS,Sp15,400,Staff,WWW,Open,8,8
ALS,116,ACADEMIC SUCCESS,Su15,400,"Lockhart, J.",WWW,Closed,0,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,651,"Hewitt, G.",Lecture,Closed,16,-1
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,652,"Pellegrom, B.",Lecture,Closed,16,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,653,"Beddes, S.",Lecture,Closed,16,-1
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,654,"Noack, E.",Lecture,Closed,16,-1
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,655,"Shirosky, E.",Lecture,Closed,16,-1
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,656,"Burrows, M.",Lecture,Closed,16,-1
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,657,Staff,Lecture,Cancelled,0,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,658,"Kowal, B.",Lecture,Closed,0,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,659,"Jones, T.",Lecture,Closed,16,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,660,"Halligan, D.",Lecture,Open,16,3
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,661,"Bazanele, P.",Lecture,Open,16,3
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,662,"Tadlock, C.",Lecture,Open,16,4
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,663,"Riverman, S.",Lecture,Open,16,3
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,664,Staff,Lecture,Cancelled,0,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,665,"Palaniuk, T.",Lecture,Open,16,6
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,667,Staff,Lecture,Inactive-Not Offered,0,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,668,"Pitman, B.",Lecture,Closed,16,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,669,"Kowal, B.",Lecture,Closed,0,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,670,"Kowal, B.",Lecture,Closed,0,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,671,"Kowal, B.",Lecture,Closed,0,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,F14,672,"Kowal, B.",Lecture,Closed,0,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,651,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,652,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,653,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,655,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,656,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,657,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,658,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,659,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,660,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,661,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,W15,662,Staff,Lecture,Open,16,16
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,Sp15,651,"Golliher, R.",Lecture,Open,17,17
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,Sp15,652,"Radcliffe, A.",Lecture,Open,17,17
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,Sp15,653,"Pitman, B.",Lecture,Open,17,17
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,Sp15,654,"Kagaya, C.",Lecture,Open,18,18
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,Sp15,655,"Neyland Jr, M.",Lecture,Open,18,18
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,Sp15,656,Staff,Lecture,Closed,0,0
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,Sp15,657,"Powers, M.",Lecture,Open,18,18
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,Sp15,659,"Bazanele, P.",Lecture,Open,18,18
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,Su15,651,"Grimm, M.",Lecture,Open,12,12
ALS,150,INTO OSU ACADEMIC READING AND WRITING 5,Su15,652,"Stone, L.",Lecture,Open,12,12
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,651,Staff,Lecture,Cancelled,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,652,"Shadyavichyute, G.",Lecture,Open,18,3
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,653,"Bazanele, P.",Lecture,Open,18,3
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,654,"Hahn II, R.",Lecture,Closed,18,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,656,"Terrell, A.",Lecture,Open,18,2
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,657,"Halligan, D.",Lecture,Open,18,1
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,658,"Grimm, M.",Lecture,Open,18,1
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,659,"Neyland Jr, M.",Lecture,Open,18,1
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,660,"Pellegrom, B.",Lecture,Open,18,2
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,661,"Golliher, R.",Lecture,Closed,18,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,662,"Gilchrist, D.",Lecture,Open,18,3
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,663,"Burrows, M.",Lecture,Open,18,6
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,664,Staff,Lecture,Cancelled,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,665,"Kowal, B.",Lecture,Closed,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,666,"Samano, V.",Lecture,Open,18,3
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,667,Staff,Lecture,Cancelled,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,668,Staff,Lecture,Cancelled,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,669,Staff,Lecture,Cancelled,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,670,"Kowal, B.",Lecture,Closed,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,671,"Kowal, B.",Lecture,Closed,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,F14,672,Staff,Lecture,Closed,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,W15,651,Staff,Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,W15,652,Staff,Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,W15,653,Staff,Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,W15,654,Staff,Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,W15,655,Staff,Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,W15,657,Staff,Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,W15,658,Staff,Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,W15,659,Staff,Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,W15,660,Staff,Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,Sp15,651,"Shadyavichyute, G.",Lecture,Open,19,19
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,Sp15,653,"Gilchrist, D.",Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,Sp15,654,"Alcorn, K.",Lecture,Open,19,19
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,Sp15,655,"Hahn II, R.",Lecture,Open,19,19
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,Sp15,656,"Gafurov, K.",Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,Sp15,657,Staff,Lecture,Closed,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,Sp15,658,"Gafurov, K.",Lecture,Open,18,18
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,Sp15,659,Staff,Lecture,Closed,0,0
ALS,151,INTO OSU ACADEMIC LISTENING AND SPEAKING 5,Su15,651,"Samano, V.",Lecture,Open,18,18
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,651,"Palaniuk, T.",Workshop,Open,18,1
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,652,"Riverman, S.",Workshop,Open,18,2
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,653,"Groves, J.",Workshop,Open,18,4
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,654,Staff,Workshop,Inactive-Not Offered,0,0
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,655,"Van Beurden, A.",Workshop,Open,17,3
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,656,"Sapp, E.",Workshop,Closed,18,-1
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,657,"Hansen-Devaux, E.",Workshop,Closed,18,0
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,658,"Jones, T.",Workshop,Closed,18,0
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,659,"Lenhardt, J.",Workshop,Open,18,1
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,660,"Paden, S.",Workshop,Open,18,1
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,661,"Muhammed, M.",Workshop,Open,18,1
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,662,"McBrien, E.",Workshop,Open,18,3
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,663,"Radcliffe, A.",Workshop,Open,17,2
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,664,"Stone, L.",Workshop,Open,18,3
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,666,"Alcorn, K.",Workshop,Open,18,2
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,667,"Campbell, P.",Workshop,Closed,18,0
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,668,Staff,Workshop,Cancelled,0,0
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,670,"Kowal, B.",Workshop,Closed,0,0
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,671,"Kowal, B.",Workshop,Closed,0,0
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,672,"Anderson, C.",Workshop,Open,18,2
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,F14,673,"Aultowski, A.",Workshop,Open,18,1
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,W15,651,Staff,Workshop,Open,18,18
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,W15,652,Staff,Workshop,Open,18,18
ALS,161,ACADEMIC LISTENING AND SPEAKING 6,W15,653,Staff,Workshop,Open,18,18
